"ref_area.label","source.label","indicator.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Afghanistan","HS - Multiple Indicator Cluster Survey, UNICEF","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: '5-11","Area type: Rural","2023",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HS - Multiple Indicator Cluster Survey, UNICEF","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: '5-11","Area type: Urban","2023",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HS - Multiple Indicator Cluster Survey, UNICEF","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 12-14","Area type: Rural","2023",13.575,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HS - Multiple Indicator Cluster Survey, UNICEF","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 12-14","Area type: Urban","2023",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HS - Multiple Indicator Cluster Survey, UNICEF","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Rural","2023",15.917,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HS - Multiple Indicator Cluster Survey, UNICEF","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Urban","2023",9.328,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HS - Multiple Indicator Cluster Survey, UNICEF","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: '5-11","Area type: Rural","2023",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HS - Multiple Indicator Cluster Survey, UNICEF","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: '5-11","Area type: Urban","2023",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HS - Multiple Indicator Cluster Survey, UNICEF","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 12-14","Area type: Rural","2023",3.065,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HS - Multiple Indicator Cluster Survey, UNICEF","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 12-14","Area type: Urban","2023",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HS - Multiple Indicator Cluster Survey, UNICEF","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Rural","2023",4.927,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HS - Multiple Indicator Cluster Survey, UNICEF","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Urban","2023",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: '5-11","Area type: Rural","2014",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 12-14","Area type: Rural","2014",4.649,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 12-14","Area type: Urban","2014",2.171,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Rural","2014",29.181,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Urban","2014",10.635,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: '5-11","Area type: Rural","2014",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 12-14","Area type: Rural","2014",2.011,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 12-14","Area type: Urban","2014",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Rural","2014",5.612,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Urban","2014",4.876,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Rural","2024",17.598,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Urban","2024",19.215,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Rural","2024",17.649,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Urban","2024",21.777,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Rural","2023",13.904,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Urban","2023",3.982,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Rural","2023",16.975,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Urban","2023",9.792,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Rural","2022",38.745,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Urban","2022",13.311,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Rural","2022",33.538,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Urban","2022",13.898,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Rural","2021",32.768,,,"Repository: ILO-STATISTICS - Micro data processing"
