"ref_area.label","source.label","indicator.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Afghanistan","HS - Multiple Indicator Cluster Survey, UNICEF","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Male","Age: '5-11","Area type: Rural","2023",10.842,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HS - Multiple Indicator Cluster Survey, UNICEF","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Male","Age: '5-11","Area type: Urban","2023",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HS - Multiple Indicator Cluster Survey, UNICEF","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Male","Age: 12-14","Area type: Rural","2023",10.884,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HS - Multiple Indicator Cluster Survey, UNICEF","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Male","Age: 12-14","Area type: Urban","2023",13.848,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HS - Multiple Indicator Cluster Survey, UNICEF","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Rural","2023",23.387,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HS - Multiple Indicator Cluster Survey, UNICEF","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Urban","2023",10.323,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HS - Multiple Indicator Cluster Survey, UNICEF","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Female","Age: '5-11","Area type: Rural","2023",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HS - Multiple Indicator Cluster Survey, UNICEF","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Female","Age: '5-11","Area type: Urban","2023",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HS - Multiple Indicator Cluster Survey, UNICEF","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Female","Age: 12-14","Area type: Rural","2023",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HS - Multiple Indicator Cluster Survey, UNICEF","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Female","Age: 12-14","Area type: Urban","2023",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HS - Multiple Indicator Cluster Survey, UNICEF","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Rural","2023",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HS - Multiple Indicator Cluster Survey, UNICEF","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Urban","2023",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Male","Age: '5-11","Area type: Rural","2014",6.409,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Male","Age: '5-11","Area type: Urban","2014",1.475,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Male","Age: 12-14","Area type: Rural","2014",15.614,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Male","Age: 12-14","Area type: Urban","2014",9.294,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Rural","2014",38.883,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Urban","2014",26.522,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Female","Age: '5-11","Area type: Rural","2014",1.159,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Female","Age: '5-11","Area type: Urban","2014",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Female","Age: 12-14","Area type: Rural","2014",3.443,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Female","Age: 12-14","Area type: Urban","2014",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Rural","2014",5.806,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Urban","2014",2.58,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Rural","2024",16.564,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Urban","2024",12.487,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Rural","2024",12.345,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Urban","2024",12.242,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Rural","2023",27.009,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Urban","2023",16.869,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
